fold,r,rmse,p_value,n_samples_test,training_seconds,prediction_seconds,shap_seconds,fold_total_seconds
1,0.5465642112705941,0.24750666772975966,1.7333421709181037e-11,130,0.38080199994146824,0.011821400024928153,0.03161760000512004,0.42477399995550513
2,0.5503369548163397,0.2532369917625763,1.1790401467402107e-11,130,0.38647359993774444,0.0166444000788033,0.03642050002235919,0.44005939993076026
3,0.594142318068103,0.22775045077686554,9.23267178720966e-14,130,0.39194680005311966,0.013241399894468486,0.036615799996070564,0.44232159992679954
4,0.48022692846869747,0.23271004495524508,7.389523892311427e-09,130,0.3841435000067577,0.013267299975268543,0.08387560001574457,0.4818273999262601
5,0.6483579759828898,0.20851888007146993,7.463239144780287e-17,130,0.3847156000556424,0.01973070006351918,0.03624320006929338,0.4412016998976469
6,0.6330242469598599,0.20610388135570729,6.449477399979924e-16,130,0.38438469998072833,0.0134025999577716,0.03659610007889569,0.4349096999503672
7,0.6183222218046468,0.19861195133627518,4.568674798711175e-15,130,0.395633100066334,0.016379999928176403,0.03693039994686842,0.4495696999365464
8,0.541939555436424,0.20985164686139876,2.7618946310903888e-11,130,0.38785429997369647,0.016705499961972237,0.036904399981722236,0.4421771999914199
9,0.572553003693352,0.22532337112640508,1.349507858494235e-12,129,0.4010654999874532,0.012958399951457977,0.038135399925522506,0.45277850003913045
10,0.6720038191052934,0.2138887913544563,2.8251915250959624e-18,129,0.3776380999479443,0.012936400016769767,0.08412660006433725,0.4752612999873236
overall,0.58629550527525,0.22302419637039136,1.0989262955585016e-120,1298,,,,
10-fold avg ± std,0.5857 ± 0.0554,0.2224 ± 0.0173,-,1298,,,,
