Stage,Status,Samples,Training_Seconds,Prediction_Seconds,SHAP_Seconds,Saving_Seconds,Total_Seconds,Total_Formatted
Data_Loading,Completed,24428,0.0,0.0,0.0,0.0,1.5693960000062361,00:01.57
Biome_1,Completed,15248,4.230221600155346,0.1635088997427374,0.5113848999608308,0.11809240002185106,5.038347600027919,00:05.04
Biome_2,Completed,397,3.811736900010146,0.14128020009957254,0.41004789993166924,0.00711780006531626,4.378670100006275,00:04.38
Biome_3,Completed,159,3.8844895001966506,0.13348850002512336,0.4684648998081684,0.005129799945279956,4.499572100001387,00:04.50
Biome_4,Completed,6067,3.9324098001234233,0.12252909981179982,0.4320720999967307,0.04773839993868023,4.544054299942218,00:04.54
Biome_5,Completed,937,3.8394629997201264,0.13032940006814897,0.4450039997464046,0.01034480007365346,4.433224400039762,00:04.43
Biome_6,Completed,1298,3.8746571999508888,0.14708809985313565,0.45746560010593385,0.011946399929001927,4.499448699993081,00:04.50
Biome_12,Completed,316,3.682745900005102,0.13549099978990853,0.39300689997617155,0.00600789999589324,4.2247018000343814,00:04.22
Global_Summary_Saving,Completed,7,0.0,0.0,0.0,0.0010223999852314591,0.0010223999852314591,00:00.00
Entire_Program,Completed,24428,27.255723900161684,0.9737151993904263,3.117446299525909,0.2073998999549076,33.22107790003065,00:33.22
